No,English Name,Japanese Name
185,Laundress,洗濯女
186,Seamstress,お針子
187,Embroiderer,刺繍師
188,Lacemaker,レース職人
189,Weaponsmith,武器鍛冶
190,Fletcher,矢羽根職人
191,Bowyer,弓職人
192,Stringer,弦職人
193,Founder,鋳物師
194,Bell Founder,鋳鐘師
195,Smelter,製錬工
196,Refiner,精製工
197,Assayer,鑑定人（金属）
198,Moneyer,貨幣鋳造人
199,Mintmaster,造幣局長
200,Banker,銀行家
201,Moneylender,金貸し
202,Tax Collector,徴税人
203,Toll Collector,通行税徴収人
204,Customs Officer,税関吏
205,Miller's Assistant,粉挽き職人の助手
206,Wet Cooper,液体樽職人
207,Dry Cooper,乾物樽職人
208,Chandler's Apprentice,蝋燭職人見習い
209,Ferryman,渡し守
210,Bargeman,運河船頭
211,Boatman,船頭
212,Navigator,航海士
213,Pilot,水先案内人
214,Sailor,水夫
215,Cabin Boy,船室係の少年
216,Fishwife,魚売り女
217,Cheese Vendor,チーズ売り
218,Egg Seller,卵売り
219,Flower Girl,花売り娘
220,Water Carrier,水運び人
221,Rat Catcher,ねずみ捕り
222,Chimney Sweep,煙突掃除人
223,Nightsoil Man,汚物処理人
224,Grave Digger,墓掘り人
225,Undertaker,葬儀屋
226,Midwife's Assistant,産婆の助手
227,Wet Nurse's Companion,乳母の付き添い
228,Tinker,いかけ屋（鍋修理職人）
229,Knacker,廃馬処理業者
230,Rendering Worker,獣脂精製工
231,Tallow Chandler,獣脂蝋燭職人
232,Wax Chandler,蜜蝋蝋燭職人
233,Feltmaker,フェルト職人
234,Hornworker,角細工師
235,Comb Maker,櫛職人
236,Button Maker,ボタン職人
237,Pinmaker,ピン職人
238,Needlemaker,針職人
239,Wireworker,針金職人
240,Cutlery Grinder,刃物研ぎ職人
241,Knife Grinder,ナイフ研ぎ職人
242,Millwright,製粉機職人
243,Clockmaker,時計職人
244,Instrument Maker,楽器職人
245,Organ Builder,オルガン製作者
246,Bell Ringer's Assistant,鐘つき助手
247,Cartographer,地図製作者
248,Surveyor,測量士
249,Engineer,技師
250,Siege Engineer,攻城兵器技師
