id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,tradition,associated_figure,source_text,rpg_examples,notes
achilles_spear,Pelian ash spear,ペーリオンの槍,spear of Achilles / Peleus,two_hand,main_hand+off_hand,2H,ash_spear,n/a,n/a,Greece,Homeric,epic,Greek,Peleus; Achilles,Iliad,rare,ケイロンが切り、ペレウスからアキレウスへ。パトロクロスには扱えないほど重い
guan_yu_guandao,Green Dragon Crescent Blade,青龍偃月刀,Yanyuedao of Guan Yu,two_hand,main_hand+off_hand,2H,glaive,literary 82 jin,literary,n/a,n/a,China,Ming novel,epic,Romance of the Three Kingdoms,Guan Yu,Sanguo yanyi
zhang_fei_spear,Zhang Fei's snake spear,張飛の蛇矛,Zhangba shemao,two_hand,main_hand+off_hand,2H,spear,literary,literary,n/a,n/a,China,Ming novel,epic,Romance of the Three Kingdoms,Zhang Fei,Sanguo yanyi
lu_bu_halberd,Fang Tian Hua Ji,方天画戟,Lü Bu's ji,two_hand,main_hand+off_hand,2H,ji,literary,literary,n/a,n/a,China,Ming novel,epic,Romance of the Three Kingdoms,Lü Bu,Sanguo yanyi
tonbokiri_legend,Tonbokiri,蜻蛉切,Honda Tadakatsu's spear,two_hand,main_hand+off_hand,2H,yari,historical analog,historical analog,n/a,n/a,Japan,Sengoku + later lore,folklore,Japanese martial legend,Honda Tadakatsu,military tales; Three Great Spears
nihongo_otegine,Nihongo and Otegine,日本号・御手杵,Three Great Spears,two_hand,main_hand+off_hand,2H,yari,historical analog,historical analog,n/a,n/a,Japan,Sengoku-Edo lore,folklore,Japanese martial legend,Fukushima; Mōri,same
naginata_benkei,Benkei's naginata,弁慶の薙刀,sohei naginata,two_hand,main_hand+off_hand,2H,naginata,historical analog,historical analog,n/a,n/a,Japan,medieval legend,folklore,Japanese heroic legend,Musashibō Benkei,Gikeiki; Heike
odin_throw,Gungnir (ritual throw),グングニル（開戦投擲）,see Gungnir,main_hand,thrown,thrown,javelin,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Odin,saga battle openings,same,装備の用法。敵の上を投げて戦死者を取る
neptune_trident,Trident of Neptune,ネプトゥーヌスのトライデント,see Poseidon,two_hand,main_hand+off_hand,2H,trident,n/a,n/a,Rome,Roman,mythology,Roman,Neptune,Roman art,same as Poseidon,ギリシアのポセイドーンと同一神器のローマ名
indra_shakti,Shakti of Indra,インドラのシャクティ,divine missile,main_hand,thrown,thrown,divine_spear,n/a,n/a,India,epic,mythology,Hindu,Indra; Karna; many heroes,Mahabharata,rare,一度きりの必殺投擲として貸し与えられることが多い
hoko_uzume,Chiwara / kazura spear of Uzume,茅纏の矛,festive spear,two_hand,main_hand+off_hand,2H,ritual_spear,n/a,n/a,Japan,Kojiki,mythology,Shinto,Ame-no-Uzume,Kojiki (Ama-no-Iwato),rare,天岩戸でアメノウズメが持つ。戦闘用ではない
brynhild_spear,Odin's sleep-thorn / spear,オーディンの睡りの茨,sleep thorn,n/a,n/a,n/a,curse,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Odin; Brynhildr,Sigrdrífumál; Völsunga,rare,盾の壁と睡り。槍というより呪いの茨
longinus_relics,Holy Lance relics,聖槍の遺物諸本,Vienna; Vatican; Echmiadzin,two_hand,main_hand+off_hand,2H,relic,n/a,n/a,Europe / Armenia,Medieval,religious_legend,Christian,imperial and papal cults,relic inventories,same,複数が「真のロンギヌス」を称した
xiuhcoatl,Xiuhcoatl,シウコアトル,turquoise fire serpent,main_hand,main_hand,1H,fire_serpent_weapon,n/a,n/a,Mesoamerica,Postclassic,mythology,Aztec,Huitzilopochtli,Codex tradition,rare,太陽神が敵を焼く火の蛇。投擲武器としても描かれる
ame_no_nuboko_jeweled,Heavenly Jeweled Spear,瓊矛,nuboko,two_hand,main_hand+off_hand,2H,spear,n/a,n/a,Japan,Kojiki,mythology,Shinto,Izanagi; Izanami,Kojiki,same as Ame-no-nuboko,別名行。本体は ame_no_nuboko
