id,name_en,name_ja,alt_names,slot,covers,material_class,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
haidate,Haidate,佩楯,Japanese thigh guard,legs,thigh,mail/plates on cloth,0.8-1.5 pair,Japan,Muromachi-Edo,historical,,
suneate,Suneate,脛当,Japanese greaves,legs,shin,splint/plate,0.5-1.2 pair,Japan,Kamakura-Edo,historical,naginata adds this in kendo analog,
mail_hose,Mail hose,メイルホーズ,,legs,legs,mail,3.0-5.0 pair,Europe,13C,historical,,
sabaton,Sabaton,サバトン,solleret,feet,foot,plate,0.6-1.2 pair,Europe,14C-16C,both,plate feet,熊手型や箱型
solleret,Solleret,ソレレット,same as sabaton,feet,foot,plate,0.6-1.2 pair,Europe,14C-16C,historical,,
kogake,Kogake,甲懸,Japanese sabaton,feet,foot,lamellar/mail,0.3-0.8 pair,Japan,Sengoku-Edo,historical,,
boots,Boots,ブーツ,riding boots,feet,foot calf,leather,0.8-2.0 pair,universal,universal,both,TES; DQ,軽装の足。魔法枠にもなる
shoes,Shoes,靴,turnshoes,feet,foot,leather,0.4-0.8 pair,universal,Medieval,historical,,
sandals,Sandals,サンダル,caligae,feet,foot,leather,0.3-0.7 pair,Mediterranean / Japan,Ancient,both,monk/gladiator,caligae は軍靴
caligae,Caligae,カリガエ,Roman military sandal,feet,foot,leather hobnails,0.5-1.0 pair,Rome,1C-2C AD,historical,,
waraji,Waraji,草鞋,,feet,foot,straw,0.1-0.3 pair,Japan,universal,historical,ashigaru,
mail_voiders,Voiders,ヴォイダー,mail at gaps,wrists,armpit elbow,mail,0.3-0.8,Europe,15C,historical,not a slot,隙間用。独立装備欄にはしにくい
arming_points,Arming points,アーミングポイント,laces,n/a,n/a,cord,n/a,Europe,Late Medieval,historical,,甲をダブレットに結ぶ点
arming_doublet,Arming doublet,アーミングダブレット,under-plate,body,torso,quilted,1.5-3.0,Europe,15C-16C,historical,under full plate,板金の下地。padded の一種
lames,Lames,レイム,overlapping strips,n/a,joints,plate,n/a,Europe,Late Medieval,historical,construction term,部品名。スロットではない
rerebrace_vambrace_set,Arm harness,腕甲一式,full arm,wrists,whole arm,plate,1.5-3.0 each,Europe,15C,historical,RPG often folds into body or gloves,
leg_harness,Leg harness,脚甲一式,full leg,legs,thigh to foot,plate,3.0-6.0 pair,Europe,15C,historical,Dark Souls legs slot,
manica,Manica,マニカ,Roman arm guard,wrists,arm,segmented,1.0-2.0,Rome / gladiator,1C-2C AD,historical,gladiator,帯板の腕
ocrea,Ocrea,オクレア,ancient greave,legs,shin,bronze,0.6-1.2 each,Greece / Rome,Ancient,historical,hoplite,
pteruges,Pteruges,プテルゲス,leather lappets,waist,hips upper arm,leather,0.5-1.5,Greece / Rome,Ancient,historical,under cuirass skirt,
cloak_fastener,Fibula,フィブラ,brooch,shoulders,cloak pin,metal,0.05-0.3,Europe,Iron Age-Medieval,historical,accessory,外套を留める。shoulders ではなく装身具
horse_barding,Barding,バーディング,horse armor,mount,mount body,mail/plate/cloth,15.0-40.0,Eurasia,Ancient-Medieval,both,D&D barding,乗騎スロット。騎士本人ではない
chanfron,Chanfron,シャンフロン,horse head plate,mount,horse head,plate,2.0-5.0,Europe,13C-16C,historical,part of barding,
peytral,Peytral,ペイトラル,horse chest,mount,horse chest,plate,4.0-10.0,Europe,14C-16C,historical,,
crupper,Crupper (armor),クラッパー（馬の臀部甲）,,mount,horse rump,plate,3.0-8.0,Europe,15C-16C,historical,,
saddle,Saddle,鞍,,mount,horse,leather/wood,8.0-15.0,universal,Ancient onward,historical,related gear,乗騎の一部
stirrup,Stirrup,鐙,,mount,horse,iron,0.5-1.5 pair,Eurasia,Early Medieval onward,historical,,騎槍戦を可能にした装具
bit_and_bridle,Bit and bridle,手綱・銜,,mount,horse head,leather/metal,0.5-1.5,universal,Ancient onward,historical,,
