id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
poleaxe,Poleaxe,ポールアックス,pollaxe,two_hand,main_hand+off_hand,2H,axe_or_hammer_plus_spike,140-200,2.0-3.2,Western Europe,14C-16C,both,knightly foot combat,騎士の徒歩決闘の本命。頭は斧または鎚
lucerne_hammer,Lucerne hammer,ルツェルンハンマー,,two_hand,main_hand+off_hand,2H,hammer_prongs_spike,160-220,2.0-3.2,Switzerland,15C-16C,historical,,
bardiche,Bardiche,バルディッシュ,Russian long axe,two_hand,main_hand+off_hand,2H,long_axe_blade,150-200,2.0-3.5,Eastern Europe,15C-17C,both,streltsy,長い斧刃を柄に添える
lochaber_axe,Lochaber axe,ロカバーアックス,,two_hand,main_hand+off_hand,2H,cleaver_hook,150-180,2.0-3.2,Scotland,16C-18C,historical,,
jedburgh_axe,Jedburgh axe,ジェドバラアックス,,two_hand,main_hand+off_hand,2H,poleaxe,150-180,2.0-3.0,Scotland,16C,historical,,
lance,Lance,ランス,heavy cavalry lance,two_hand,main_hand (couched),couched,thrust_cavalry,300-420,2.0-4.0,Western Europe,High-Late Medieval,both,D&D lance; joust,騎乗時は片手（ couched）。徒歩では扱いにくい
kontos,Kontos,コントス,cataphract lance,two_hand,main_hand+off_hand,2H,cavalry_pike,350-450,2.5-4.5,Iran / Late Rome,Ancient,historical,,両手の騎槍。盾が持てない
light_lance,Light lance,軽ランス,cavalry spear,main_hand,main_hand,1H,thrust_cavalry,220-300,1.5-2.5,universal,Ancient-Medieval,historical,,片手＋盾の騎槍
boar_spear,Boar spear,イノシシ槍,hunting spear with lugs,two_hand,main_hand+off_hand,2H,thrust_lugs,180-220,1.5-2.5,Europe,Medieval,both,hunting,横棒で獲物の突進を止める
ox_tongue_spear,Ox-tongue spear,オックスタン,langue de boeuf,two_hand,main_hand+off_hand,2H,broad_leaf,180-240,1.8-2.8,Europe,15C-16C,historical,,幅広い葉形
ahlspiess,Ahlspiess,アールシュピース,awl pike,two_hand,main_hand+off_hand,2H,long_spike,150-200,1.5-2.5,German lands,15C-16C,historical,armor piercing,円盤鍔付きの長突き
brandistock,Brandistock,ブランディストック,feather staff,two_hand,main_hand+off_hand,2H,concealed_blades,140-180,1.5-2.5,Italy / Europe,16C-17C,historical,niche,仕込み三叉
sodegarami,Sodegarami,袖搦,,two_hand,main_hand+off_hand,2H,catching,180-250,1.5-2.5,Japan,Edo,historical,police,袖を絡める捕具
sasumata,Sasumata,刺股,,two_hand,main_hand+off_hand,2H,catching_fork,180-250,1.5-2.5,Japan,Edo,historical,,
tsukubo,Tsukubo,突棒,,two_hand,main_hand+off_hand,2H,pushing_bar,180-250,1.5-2.5,Japan,Edo,historical,,
tepoztopilli,Tepoztopilli,テポストピリ,obsidian polearm,two_hand,main_hand+off_hand,2H,obsidian_glaive,150-220,1.5-2.5,Mesoamerica,Postclassic,historical,,マクアフティルの長柄版
assegai,Assegai,アサガイ,throwing assegai,main_hand,main_hand,thrown or 1H,thrown_spear,140-180,0.6-1.2,Southern Africa,Iron Age-19C,both,,投擲。接近用は iklwa
iklwa,Iklwa,イクルワ,Zulu short stabbing spear,main_hand,main_hand,1H,stab,100-130,0.8-1.3,Zulu,19C,historical,,大盾と組む短槍
taiaha,Taiaha,タイアハ,,two_hand,main_hand+off_hand,2H,staff_blade,140-160,0.8-1.5,Maori,precolonial,historical,,一端が刃状、一端が顔形
woldo,Woldo,月刀,Korean moon blade,two_hand,main_hand+off_hand,2H,glaive,200-250,2.0-4.0,Korea,Joseon,both,Guan Yu analog,関刀に近い朝鮮長柄
pike_square_note,Pike (formation),パイク密集,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Europe,16C,historical,,個人スロットというより部隊兵器
scythe_war,War scythe,戦鎌,converted scythe,two_hand,main_hand+off_hand,2H,peasant,180-240,1.8-3.0,Europe,Medieval-Early Modern,both,peasant uprising,刃を立てて戦用に改造
